"control_id","control_name","baseline","control_description","supplemental_guidance","purpose","scope","applicability","miscellaneous","section_header","source_file","extraction_source","compliance_date","published_url"
"MON04.001","CDM Dashboard Integration","L","Systems covered by the CDM program shall have hardware, software, and vulnerability data integrated with the CDM agency dashboard. CDM data feeds shall be validated weekly by the Security Engineering team. Gaps in CDM data completeness shall be reported to CISA per agency CDM program requirements.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON04.002","Security Metrics Trending","","The ISSO shall produce a monthly trend report comparing current metrics to the prior 3-month baseline. Reports shall identify degrading metrics and proposed corrective actions. Reports shall be retained in SharePoint under the Monitoring Records folder per the document retention schedule in Appendix D, Section 4.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.001","Continuous External Attack Surface Monitoring","L,M,H","Internet-facing systems shall be enrolled in an automated attack surface monitoring service that performs daily external enumeration. Newly discovered assets or open ports not in the approved inventory shall generate a P2 alert. Tool and integration requirements are maintained by the Security Engineering team.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.002","Penetration Testing Frequency","","Internet-facing systems shall undergo penetration testing annually at minimum by a qualified independent tester. Web application penetration testing shall use OWASP methodology. Findings shall be entered as POA&M items within 5 business days per RMP03.001. Pentest reports shall be retained for 3 years.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","","Continuous_Monitoring_Policy-MON-2026.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON01.001","Authenticated Vulnerability Scanning","L,M,H","Requirement: All systems shall undergo authenticated vulnerability scanning at minimum weekly for internet-facing systems and bi-weekly for internal systems. Scanning shall use an approved tool from Appendix B. Scans shall be credentialed to ensure complete coverage of installed software and configurations. Unauthenticated scans are not sufficient to satisfy this control. Scan schedules shall be documented in the system security plan (SSP). NIST Mapping: RA-5, RA-5(5) Status: Implemented Owner: Security Operations","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON01.002","Vulnerability Remediation SLAs","L,M,H","Requirement: Identified vulnerabilities shall be remediated within the following SLAs based on CVSS score: Critical (CVSS 9.0-10.0) within 15 calendar days; High (CVSS 7.0-8.9) within 30 days; Medium (CVSS 4.0-6.9) within 90 days; Low (CVSS 0.1-3.9) within 180 days. Exceptions require ISSM approval and a compensating control documented in a POA&M entry per the Risk Management Policy, RMP03.001. See Appendix A for the severity matrix. NIST Mapping: RA-5(6), SI-2 Status: Implemented Owner: System Owners / Security Ops","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON02.001","SIEM Log Ingestion and Correlation","L,M,H","Requirement: All systems, network devices, and applications within the ATO boundary shall forward security-relevant logs to the organizational SIEM in real time or near-real-time (maximum 5-minute delay). Log format shall conform to the standards in Appendix C. The SOC shall validate log ingestion completeness daily. Gaps in log ingestion for critical systems shall generate a P2 alert per the Incident Response Policy, IRP02.001. CWO = Correct Wording orange.",": This control is made up so this is","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.",". NIST Mapping: AU-2, AU-9, SI-4 Status: Implemented Owner: SOC / Security Engineering","Section 4 - Log Management","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON02.002","Log Retention Requirements -","L,M,H","Requirement: Security logs shall be retained for a minimum of 12 months online (immediately accessible) and 36 months total (per the Records Retention Policy and NIST AU-11 requirements). CUI-system logs require the full 36-month accessible retention with no offline-only period permitted. Log storage capacity shall be reviewed quarterly. Storage approaching 80% capacity shall trigger an immediate expansion request per the Change Management process in CFG02.001. TAU means the Total Area Under, in other words the area calculation.",": This is a Made up","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all made-up organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. Blah Blah Blah. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program. Refer to appendix A for more info.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","for MON02.002 with BOLD title. NIST Mapping: AU-11, AC-130 Status: Implemented Owner: No one special","Section 4 - Log Management","Continuous_Monitoring_Policy-MON-2026.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"DLP01.001","DLP Tool Deployment","","The organization shall deploy DLP tooling on all endpoints and email gateways to inspect outbound data flows for CUI and PII. See Appendix A for approved DLP tool list. See below for details.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP01.002","Content Inspection Policy","","Outbound email shall be subject to automated content inspection as described in Section 2 control DLP05.1234 of this standard. Policy rules are documented in Appendix B.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP02.001","Data Classification Tagging","","All documents containing CUI shall be tagged with approved sensitivity labels per the Data Classification Policy. See Appendix C for label taxonomy.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP02.002","Endpoint DLP Enforcement","","DLP agents on endpoints shall enforce block actions for attempted exfiltration of CUI to unapproved destinations. Exceptions require ISSM approval per Appendix D.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP03.001","Cloud Application Controls","","Sanctioned cloud applications shall be configured with DLP policies restricting upload of sensitive data. Unsanctioned apps shall be blocked per the Network Security Policy.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP03.002","DLP Alert Response SLA","","DLP alerts classified as High or Critical shall be investigated within 2 hours by the SOC. Alert triage procedures are in Appendix E.","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
