source_doc,source_section,source_paragraph_index,matched_text,reference_type,target_reference,resolution_status,target_url,url_display_text,url_type
Encryption_Policy_POL-ENC-2026-008.docx,Appendix D - Certificate Management Procedures,60,,,,,https://www.linkedin.com,PKI Operations Guide (SharePoint - internal),external
Incident_Response_Policy_POL-IR-2026-003.docx,2.0 Scope,10,refer to Section 4,internal,4,,,,
Incident_Response_Policy_POL-IR-2026-003.docx,2.0 Scope,13,as described in the Federal Incident Notification Guide,external,Federal Incident Notification Guide,,,,
Incident_Response_Policy_POL-IR-2026-003.docx,4.2 Response Procedures,21,refer to Section 2.3,internal,2.3,,,,
Incident_Response_Policy_POL-IR-2026-003.docx,4.2 Response Procedures,23,see Section 3.4,internal,3.4,,,,
Incident_Response_Policy_POL-IR-2026-003.docx,4.2 Response Procedures,25,As described in Section 5,internal,5,,,,
Incident_Response_example demo-2026-003 copy.docx,Purpose,5,,,,,https://www.google.com,NIST SP 800-61 Rev 3 overview,external
Incident_Response_example demo-2026-003 copy.docx,Scope,7,,,,,https://www.linkedin.com,Security Awareness Training resources,external
Incident_Response_example demo-2026-003 copy.docx,Intent,11,,,,,https://www.google.com,CISA incident reporting guidance,external
Incident_Response_example demo-2026-003 copy.docx,Enforcement,15,per Section 6,internal,6,,,,
Incident_Response_example demo-2026-003 copy.docx,References,20,Computer Security Incident Handling Guide,external,Computer Security Incident Handling Guide,,,,
Incident_Response_example demo-2026-003 copy.docx,References,20,,,,,https://www.google.com,Computer Security Incident Handling Guide,external
Incident_Response_example demo-2026-003 copy.docx,References,21,,,,,https://www.linkedin.com,CISA Guidance Portal,external
Incident_Response_example demo-2026-003 copy.docx,Appendix B - Escalation Contact List,28,,,,,https://www.linkedin.com,IR Team SharePoint (internal),external
Incident_Response_example demo-2026-003 copy.docx,Appendix D - Chain of Custody Form,32,,,,,https://www.google.com,Forensics Team resources,external
Incident_Response_example demo-2026-003 copy.docx,Appendix F - Tabletop Exercise Log,37,,,,,https://www.linkedin.com,Tabletop Exercise Log (SharePoint),external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Purpose,5,,,,,https://www.google.com,NIST SP 800-122 Guide to Protecting PII,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Purpose,5,,,,,https://www.linkedin.com,OMB Circular A-130 Managing Federal Information Resources,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Enforcement,32,,,,,https://www.google.com,IAPP federal privacy resources,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,References,38,,,,,https://www.google.com,Full text and agency guidance,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,References,39,,,,,https://www.linkedin.com,OMB memorandum,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,References,40,,,,,https://www.google.com,Guide to Protecting the Confidentiality of PII,external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Appendix D - PII Disclosure Log and Data Sharing Agreement Template,57,Privacy Program Document Library (internal - CUI//PRVCY),external,Privacy Program,,,,
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Appendix D - PII Disclosure Log and Data Sharing Agreement Template,57,,,,,https://www.linkedin.com,Privacy Program Document Library (internal - CUI//PRVCY),external
Privacy_PII_Handling_Policy_POL-PII-2026-012.docx,Appendix E - PII Breach Notification Templates,59,,,,,https://www.google.com,OMB M-17-12 Breach Resources,external
Risk_Management_Policy_POL-RM-2026-009.docx,Purpose,5,NIST RMF Quick Start Guide,external,NIST RMF Quick Start Guide,,,,
Risk_Management_Policy_POL-RM-2026-009.docx,Purpose,5,,,,,https://www.google.com,NIST RMF Quick Start Guide,external
Risk_Management_Policy_POL-RM-2026-009.docx,Scope,8,refer to the Cloud Security Policy,external,Cloud Security Policy,,,,
Risk_Management_Policy_POL-RM-2026-009.docx,Scope,8,,,,,https://www.linkedin.com,FedRAMP Risk Management documentation,external
Risk_Management_Policy_POL-RM-2026-009.docx,References,20,,,,,https://www.google.com,NIST RMF Overview,external
Risk_Management_Policy_POL-RM-2026-009.docx,References,21,,,,,https://www.linkedin.com,Supply Chain Risk Management,external
Risk_Management_Policy_POL-RM-2026-009.docx,Appendix C - Risk Register Template,29,,,,,https://www.linkedin.com,Risk Register (internal - CUI),external
Risk_Management_Policy_POL-RM-2026-009.docx,Appendix F - Third-Party Risk Assessment Criteria,35,,,,,https://www.google.com,FedRAMP Marketplace,external
